Driver,Team,Compound,LapNumber,TyreLife,TyreLifeSquared,Stint,Position,TrackStatus,IsPitLap,IsGreenFlag,RaceProgress,StintLength,StintProgress,DriverMedianPace,TeamMedianPace,PreviousLapTime,Rolling3LapAvg,Rolling5LapAvg,LapTimeSeconds
ALO,Aston Martin,HARD,13.0,14.0,196.0,1.0,6.0,1,0,1,0.16666666666666666,16.0,0.8125,77.033,78.116,77.319,78.31833333333334,79.24860000000001,76.411
ALO,Aston Martin,HARD,14.0,15.0,225.0,1.0,5.0,1,0,1,0.1794871794871795,16.0,0.875,77.033,78.116,76.411,77.06633333333333,78.7098,76.295
ALO,Aston Martin,HARD,15.0,16.0,256.0,1.0,5.0,1,0,1,0.19230769230769232,16.0,0.9375,77.033,78.116,76.295,76.67500000000001,77.5322,75.593
ALO,Aston Martin,HARD,16.0,17.0,289.0,1.0,6.0,1,1,1,0.20512820512820512,16.0,1.0,77.033,78.116,75.593,76.09966666666666,76.6174,94.168
ALO,Aston Martin,HARD,17.0,2.0,4.0,2.0,7.0,1,1,1,0.21794871794871795,20.0,0.05,77.033,78.116,94.168,82.01866666666668,79.9572,80.283
ALO,Aston Martin,HARD,18.0,3.0,9.0,2.0,7.0,1,0,1,0.23076923076923078,20.0,0.1,77.033,78.116,80.283,83.34800000000001,80.55,76.84
ALO,Aston Martin,HARD,19.0,4.0,16.0,2.0,6.0,1,0,1,0.24358974358974358,20.0,0.15,77.033,78.116,76.84,83.76366666666667,80.6358,77.226
ALO,Aston Martin,HARD,20.0,5.0,25.0,2.0,6.0,1,0,1,0.2564102564102564,20.0,0.2,77.033,78.116,77.226,78.11633333333333,80.822,77.267
ALO,Aston Martin,HARD,21.0,6.0,36.0,2.0,6.0,1,0,1,0.2692307692307692,20.0,0.25,77.033,78.116,77.267,77.11099999999999,81.1568,77.921
ALO,Aston Martin,HARD,22.0,7.0,49.0,2.0,6.0,1,0,1,0.28205128205128205,20.0,0.3,77.033,78.116,77.921,77.47133333333333,77.90740000000001,78.938
ALO,Aston Martin,HARD,23.0,8.0,64.0,2.0,6.0,1,0,1,0.2948717948717949,20.0,0.35,77.033,78.116,78.938,78.04199999999999,77.6384,77.947
ALO,Aston Martin,HARD,24.0,9.0,81.0,2.0,6.0,1,0,1,0.3076923076923077,20.0,0.4,77.033,78.116,77.947,78.26866666666666,77.8598,77.748
ALO,Aston Martin,HARD,25.0,10.0,100.0,2.0,6.0,1,0,1,0.32051282051282054,20.0,0.45,77.033,78.116,77.748,78.211,77.9642,77.685
ALO,Aston Martin,HARD,26.0,11.0,121.0,2.0,6.0,1,0,1,0.3333333333333333,20.0,0.5,77.033,78.116,77.685,77.79333333333334,78.04780000000001,76.293
ALO,Aston Martin,HARD,27.0,12.0,144.0,2.0,6.0,1,0,1,0.34615384615384615,20.0,0.55,77.033,78.116,76.293,77.242,77.7222,76.744
ALO,Aston Martin,HARD,28.0,13.0,169.0,2.0,6.0,1,0,1,0.358974358974359,20.0,0.6,77.033,78.116,76.744,76.90733333333334,77.2834,76.414
